Ontology ID	alternative term	label	definition	term editor	logical type	parent	organism binding antibody	organism binding IgA antibody	organism binding IgG antibody	assay
EUPATH:0036528	"Polio serotype 2 titer, by microneutralization result"	Human poliovirus 2 titer in blood by 96-well neutralization assay datum	An antigen specific antibodies in blood assay datum that is the output of a 96-well neutralization assay and is used to determine the presence of Polio serotype 2 titer in the specimen.	Person: John Judkins	subclass	antigen specific antibodies in blood assay datum	Human poliovirus 2			96-well neutralization assay
EUPATH:0036529	"Polio serotype 3 titer, by microneutralization result"	Human poliovirus 3 titer in blood by 96-well neutralization assay datum	An antigen specific antibodies in blood assay datum that is the output of a 96-well neutralization assay and is used to determine the presence of Polio serotype 3 titer in the specimen.	Person: John Judkins	subclass	antigen specific antibodies in blood assay datum	Human poliovirus 3			96-well neutralization assay
EUPATH:0011292	"Polio serotype 3 titer, by microneutralization result"	Human poliovirus 3 titer in blood by 96-well neutralization assay datum	An antigen specific antibodies in blood assay datum that is the output of a 96-well neutralization assay and is used to determine the presence of Polio serotype 3 titer in the specimen.	Person: John Judkins	subclass	antigen specific antibodies in blood assay datum	Human poliovirus 3			96-well neutralization assay
EUPATH:0036386	"Diphtheria toxoid IgG titer, by MIA result"	Diphtheria IgG titer in blood by multiplexed immunoassay datum	An antigen specific antibodies in blood assay datum that is the output of a multiplexed immunoassay and is used to determine the presence of Diphtheria toxoid IgG titer in the specimen.	Person: John Judkins	subclass	antigen specific antibodies in blood assay datum			Corynebacterium diphtheriae	single-value binding of antibody with reporter to antigen assay
EUPATH:0036387	"Filamentous hemagglutinin IgG titer, by MIA result"	Filamentous hemagglutinin IgG titer in blood by multiplexed immunoassay datum	An antigen specific antibodies in blood assay datum that is the output of a multiplexed immunoassay and is used to determine the presence of Filamentous hemagglutinin IgG titer in the specimen.	Person: John Judkins	subclass	antigen specific antibodies in blood assay datum			Bordetella pertussis	single-value binding of antibody with reporter to antigen assay
EUPATH:0036388	"Haemophilus influenzae type B IgG titer, by MIA result"	Haemophilus influenzae type B IgG titer in blood by multiplexed immunoassay datum	An antigen specific antibodies in blood assay datum that is the output of a multiplexed immunoassay and is used to determine the presence of Haemophilus influenzae type B IgG titer in the specimen.	Person: John Judkins	subclass	antigen specific antibodies in blood assay datum			Haemophilus influenzae serotype b	single-value binding of antibody with reporter to antigen assay
EUPATH:0036389	"Measles IgG titer, by MIA result"	Measles IgG titer in blood by multiplexed immunoassay datum	An antigen specific antibodies in blood assay datum that is the output of a multiplexed immunoassay and is used to determine the presence of Measles IgG titer in the specimen.	Person: John Judkins	subclass	antigen specific antibodies in blood assay datum			Measles morbillivirus	single-value binding of antibody with reporter to antigen assay
EUPATH:0036390	"Pertactin IgG titer, by MIA result"	Pertactin IgG titer in blood by multiplexed immunoassay datum	An antigen specific antibodies in blood assay datum that is the output of a multiplexed immunoassay and is used to determine the presence of Pertactin IgG titer in the specimen.	Person: John Judkins	subclass	antigen specific antibodies in blood assay datum			Bordetella pertussis	single-value binding of antibody with reporter to antigen assay
EUPATH:0036391	"Pertussis toxin IgG titer, by MIA result"	Pertussis toxin IgG titer in blood by multiplexed immunoassay datum	An antigen specific antibodies in blood assay datum that is the output of a multiplexed immunoassay and is used to determine the presence of Pertussis toxin IgG titer in the specimen.	Person: John Judkins	subclass	antigen specific antibodies in blood assay datum			Bordetella pertussis	single-value binding of antibody with reporter to antigen assay
EUPATH:0036392	"Tetanus toxoid IgG titer, by MIA result"	Tetanus toxoid IgG titer in blood by multiplexed immunoassay datum	An antigen specific antibodies in blood assay datum that is the output of a multiplexed immunoassay and is used to determine the presence of Tetanus toxoid IgG titer in the specimen.	Person: John Judkins	subclass	antigen specific antibodies in blood assay datum			Clostridium tetani	single-value binding of antibody with reporter to antigen assay
